ID,CAPACIDAD,NOMBRE,TELEFONO,DIRECCION,ESTRELLAS,RUT,HABDISPONIBLES,HABOCUPADAS,HORACIERRE,HORAAPERTURA,CEDULA,EDAD,TIPO
21,2,Bitwolf,209 258 0004,69394 Mendota Park,5,75-734-2109,65,112,null,null,null,null,hotel
22,3,Bitchip,118 915 2333,38 Arapahoe Pass,2,21-388-6306,85,141,null,null,null,null,hotel
23,2,Holdlamis,965 400 2012,4 Farwell Circle,5,34-944-1361,47,156,null,null,null,null,hotel
24,2,Tres-Zap,678 785 9613,4324 Nova Drive,3,05-573-2112,139,25,null,null,null,null,hotel
25,4,Asoka,476 548 0005,96 Amoth Place,3,73-828-9449,159,6,null,null,null,null,hotel
26,4,Voltsillam,850 689 4227,536 Farwell Street,4,22-681-4053,85,38,null,null,null,null,hotel
27,4,Prodder,547 357 0161,52774 Troy Drive,3,85-398-7736,160,51,null,null,null,null,hotel
28,4,Trippledex,290 824 4883,3 Heffernan Hill,5,47-785-2240,64,116,null,null,null,null,hotel
29,3,Sonair,852 779 1809,134 Canary Drive,2,53-756-5633,97,129,null,null,null,null,hotel
30,3,Sonair,310 329 7545,6 Glacier Hill Lane,4,93-113-7605,19,16,null,null,null,null,hotel
31,1,Daltfresh,390 168 2226,609 Arizona Lane,4,00-956-4978,35,48,null,null,null,null,hotel
32,3,Hatity,613 838 7432,31 Lakewood Park,4,22-940-7760,148,50,null,null,null,null,hotel
33,3,Konklab,145 984 8549,9 Mitchell Street,2,92-602-5848,57,70,null,null,null,null,hotel
34,3,Konklab,686 691 0120,4 Fordem Place,3,78-129-0056,114,83,null,null,null,null,hotel
35,2,Span,628 906 0682,2511 Village Green Park,4,06-318-7462,58,3,null,null,null,null,hotel
36,3,Flowdesk,717 801 2937,6689 Express Pass,5,12-633-7065,126,39,null,null,null,null,hotel
37,3,Voyatouch,491 737 1399,1427 Waubesa Way,5,41-184-8693,108,45,null,null,null,null,hotel
38,2,Tres-Zap,397 361 4934,3 Chive Park,4,38-781-2132,140,1,null,null,null,null,hotel
39,2,Ventosanzap,198 188 0199,0 Rowland Park,3,16-320-6468,125,151,null,null,null,null,hotel
40,3,Alpha,556 900 4773,8272 Duke Circle,5,26-603-0212,48,156,null,null,null,null,hotel
41,2,Y-find,983 482 4439,62736 Merrick Circle,3,22-283-9963,128,52,null,null,null,null,hotel
42,2,Toughjoyfax,571 803 3595,58 Dryden Road,5,45-084-8540,106,23,null,null,null,null,hotel
43,2,Y-Solowarm,956 620 8329,6 Longview Road,5,90-521-2736,77,36,null,null,null,null,hotel
44,1,Alphazap,975 657 5014,87389 Fisk Alley,5,41-141-3361,131,125,null,null,null,null,hotel
45,1,Lotstring,415 766 6119,3922 Monument Court,5,62-545-2440,75,2,null,null,null,null,hotel
46,1,Bigtax,307 651 9861,677 Del Mar Place,2,69-763-7159,119,135,null,null,null,null,hotel
47,3,Voltsillam,113 826 5051,7305 Lotheville Road,2,81-069-6764,22,123,null,null,null,null,hotel
48,2,Alpha,922 833 2818,88 Carey Trail,2,94-094-8466,105,84,null,null,null,null,hotel
49,1,Bigtax,458 333 0317,82307 High Crossing Parkway,5,01-815-8821,33,28,null,null,null,null,hotel
50,4,Bamity,487 806 5852,2 Jenna Trail,4,83-549-5301,114,14,null,null,null,null,hotel
51,1,Span,368 121 0711,0 Holmberg Plaza,3,24-077-5554,126,54,null,null,null,null,hotel
52,4,Span,937 426 3219,2946 Rowland Road,3,02-023-6572,6,151,null,null,null,null,hotel
53,2,Home Ing,897 360 3770,55876 Dunning Circle,3,04-923-4081,7,94,null,null,null,null,hotel
54,4,Quo Lux,816 527 8111,456 Helena Avenue,5,05-180-7699,144,94,null,null,null,null,hotel
55,1,Cookley,925 514 4113,444 Erie Point,5,20-259-2092,70,116,null,null,null,null,hotel
56,2,Lotstring,513 708 6999,4 School Alley,2,81-856-0466,3,18,null,null,null,null,hotel
57,4,Biodex,656 921 5010,194 Stang Place,5,04-454-7518,5,142,null,null,null,null,hotel
58,4,Voyatouch,135 940 3038,5482 Menomonie Lane,4,20-290-6705,137,73,null,null,null,null,hotel
59,1,Duobam,561 879 4285,54553 Clemons Plaza,2,83-152-8244,157,44,null,null,null,null,hotel
60,2,Wrapsafe,646 427 2329,30683 Spaight Road,4,88-964-2113,59,67,null,null,null,null,hotel
61,1,Bigtax,892 743 4975,14019 Havey Avenue,3,34-296-4309,42,98,null,null,null,null,hotel
62,1,Flowdesk,210 667 9669,9084 Mallory Court,5,26-073-6189,90,8,null,null,null,null,hotel
63,3,Quo Lux,643 571 4116,78929 Pine View Trail,5,37-615-9497,159,109,null,null,null,null,hotel
64,4,Stringtough,649 402 3993,3 Cherokee Lane,3,49-429-5996,117,75,null,null,null,null,hotel
65,4,Andalax,994 820 7548,58614 Anthes Junction,5,21-597-1828,132,73,null,null,null,null,hotel
66,4,Asoka,418 991 1427,639 Welch Alley,3,61-643-1630,32,33,null,null,null,null,hotel
67,3,Tin,480 326 6489,97441 Crownhardt Alley,3,30-570-7646,7,29,null,null,null,null,hotel
68,1,Pannier,871 452 7501,3262 Northland Center,3,33-556-7919,111,48,null,null,null,null,hotel
69,4,Solarbreeze,416 548 8324,607 Clyde Gallagher Parkway,3,25-541-0626,158,131,null,null,null,null,hotel
70,1,Pannier,645 736 0610,85208 Fulton Center,3,88-292-5075,9,99,null,null,null,null,hotel
71,4,Quo Lux,650 866 1994,07063 Menomonie Place,2,64-095-6581,6,21,null,null,null,null,hotel
72,2,Bitchip,447 831 1171,32 Rusk Parkway,2,25-175-4307,146,99,null,null,null,null,hotel
73,1,Tempsoft,498 138 4436,0691 Gale Road,2,13-399-4846,151,83,null,null,null,null,hotel
74,1,Flowdesk,719 608 3771,90 Clove Avenue,4,41-926-6222,45,19,null,null,null,null,hotel
75,1,Bigtax,194 322 6292,9350 Ridgeview Place,5,83-459-7873,15,69,null,null,null,null,hotel
76,2,Cookley,755 369 6083,79242 Duke Place,2,01-577-8409,20,138,null,null,null,null,hotel
77,4,Overhold,558 544 8976,84 Forest Dale Plaza,5,88-853-2270,117,41,null,null,null,null,hotel
78,3,Ventosanzap,134 844 9635,418 Mendota Parkway,4,50-312-2610,154,8,null,null,null,null,hotel
79,1,Treeflex,976 519 4794,02 Lakeland Center,2,90-162-7025,62,149,null,null,null,null,hotel
80,2,Subin,409 410 5395,0 Laurel Plaza,4,06-092-8819,21,23,null,null,null,null,hotel
81,4,Opela,466 476 4482,93 Raven Junction,4,89-516-5556,144,80,null,null,null,null,hotel
82,3,Alphazap,795 779 5559,24692 Surrey Crossing,3,10-222-2413,106,147,null,null,null,null,hotel
83,1,Keylex,240 696 2090,35983 Hagan Street,5,20-875-6645,123,144,null,null,null,null,hotel
84,2,Sonsing,958 629 5191,25 Sheridan Court,5,11-340-2541,150,58,null,null,null,null,hotel
85,2,Alphazap,672 133 9273,237 Mesta Way,5,28-827-5385,121,100,null,null,null,null,hotel
86,1,Stronghold,680 169 1955,703 Havey Road,4,45-418-4679,138,77,null,null,null,null,hotel
87,3,Gembucket,897 236 2274,34 Butternut Point,5,88-924-6274,141,56,null,null,null,null,hotel
88,3,Bytecard,760 679 5441,7 Lukken Way,4,53-731-5818,159,67,null,null,null,null,hotel
89,2,Voltsillam,882 234 1383,881 Moland Circle,3,28-603-7661,53,70,null,null,null,null,hotel
90,2,Y-Solowarm,870 824 2791,8 Canary Trail,2,07-782-8158,46,140,null,null,null,null,hotel
91,3,Cardify,120 976 6655,230 Thierer Crossing,4,96-871-4103,49,96,null,null,null,null,hotel
92,1,Fixflex,407 125 8384,47746 Walton Alley,4,70-977-3429,121,13,null,null,null,null,hotel
93,1,Trippledex,242 453 8347,79337 Golf View Alley,3,62-005-3923,117,118,null,null,null,null,hotel
94,1,Ronstring,407 471 5434,26 Barby Center,4,30-507-2346,149,21,null,null,null,null,hotel
95,4,Biodex,200 329 1379,1 Forster Circle,3,81-721-5639,115,58,null,null,null,null,hotel
96,1,Fintone,145 716 7731,229 Browning Terrace,5,54-473-8939,133,82,null,null,null,null,hotel
97,2,Gembucket,870 322 6774,00070 Upham Park,3,56-072-0101,79,114,null,null,null,null,hotel
98,3,Home Ing,800 331 5231,16 Manufacturers Terrace,5,01-231-2622,5,141,null,null,null,null,hotel
99,4,Viva,528 726 3090,90 Cottonwood Terrace,3,56-582-9834,42,13,null,null,null,null,hotel
100,3,Gembucket,540 484 9410,82 Goodland Road,3,46-059-1278,40,87,null,null,null,null,hotel
101,2,Zontrax,439 842 4811,4 Surrey Trail,5,76-637-7610,132,78,null,null,null,null,hotel
102,2,Biodex,788 458 9414,88 Sachs Center,5,80-943-2501,23,151,null,null,null,null,hotel
103,4,Otcom,602 545 3797,8969 Magdeline Terrace,4,85-561-7626,139,69,null,null,null,null,hotel
104,2,Quo Lux,170 390 9703,1 Crescent Oaks Lane,3,51-790-3120,99,10,null,null,null,null,hotel
105,1,Gembucket,599 208 0082,46 Westridge Lane,5,15-552-0308,35,160,null,null,null,null,hotel
106,3,Toughjoyfax,161 724 4739,12 Daystar Point,5,14-193-2485,99,101,null,null,null,null,hotel
107,3,Fintone,243 132 4526,763 Butternut Plaza,4,26-407-2118,145,31,null,null,null,null,hotel
108,3,Zathin,202 872 6927,4 1st Lane,3,53-102-9298,12,158,null,null,null,null,hotel
109,3,Tempsoft,639 720 8902,856 Loftsgordon Pass,3,95-501-0089,127,146,null,null,null,null,hotel
110,1,Duobam,160 949 7323,45 Loeprich Alley,4,86-528-9338,110,108,null,null,null,null,hotel
111,2,Wrapsafe,287 590 5325,03 Scoville Park,5,55-198-9358,21,117,null,null,null,null,hotel
112,2,Hatity,763 373 5099,189 Manufacturers Junction,2,64-679-5489,129,71,null,null,null,null,hotel
113,1,Opela,862 434 8976,0614 Pawling Hill,5,92-138-3570,87,124,null,null,null,null,hotel
114,4,Ventosanzap,523 260 8309,6 Tennyson Trail,5,69-804-0750,48,92,null,null,null,null,hotel
115,2,Subin,805 356 2152,770 Green Street,3,93-656-9144,23,17,null,null,null,null,hotel
116,4,It,930 696 7218,392 Memorial Road,4,58-442-9255,38,50,null,null,null,null,hotel
117,3,Stringtough,800 969 7818,6 Manitowish Alley,3,81-510-7216,69,86,null,null,null,null,hotel
118,3,Andalax,510 290 5483,0489 Brown Court,5,80-817-8705,97,109,null,null,null,null,hotel
119,3,Sub-Ex,215 966 8043,99 Everett Trail,4,12-605-9156,32,8,null,null,null,null,hotel
120,4,Regrant,435 544 6639,5 Swallow Center,4,47-094-9872,66,84,null,null,null,null,hotel
121,1,Mat Lam Tam,472 609 3128,72708 Sage Junction,4,29-687-8696,108,4,null,null,null,null,hotel
122,3,Bitwolf,115 631 6212,3938 Lakewood Junction,4,43-629-0928,146,31,null,null,null,null,hotel
123,3,Voltsillam,349 651 2983,18686 American Parkway,4,93-078-7699,9,111,null,null,null,null,hotel
124,3,Sub-Ex,666 846 5110,387 Saint Paul Plaza,3,05-927-4734,17,56,null,null,null,null,hotel
125,4,Bitwolf,875 191 0091,90 Sauthoff Road,5,33-034-9905,79,31,null,null,null,null,hotel
126,4,Zamit,211 666 3973,273 Bultman Crossing,5,57-382-5877,39,51,null,null,null,null,hotel
127,3,Fix San,500 747 9949,02 Almo Court,4,32-410-0900,15,89,null,null,null,null,hotel
128,3,Latlux,328 914 9605,8596 Toban Avenue,5,27-883-4789,115,16,null,null,null,null,hotel
129,3,Tres-Zap,170 797 8857,049 Rowland Avenue,3,64-075-3895,148,129,null,null,null,null,hotel
130,1,Sub-Ex,636 669 2548,83130 Northwestern Street,5,07-930-9256,136,53,null,null,null,null,hotel
131,2,Konklux,990 592 5441,1243 Myrtle Court,2,13-489-6274,81,74,null,null,null,null,hotel
132,4,Hatity,997 579 0832,519 Swallow Avenue,4,48-557-6283,67,95,null,null,null,null,hotel
133,2,Toughjoyfax,886 165 0424,79067 Manitowish Plaza,4,19-189-6547,95,117,null,null,null,null,hotel
134,4,Viva,336 605 0777,464 Merchant Avenue,2,80-266-8069,139,61,null,null,null,null,hotel
135,4,Mat Lam Tam,537 628 2054,543 Memorial Trail,4,78-180-8040,74,44,null,null,null,null,hotel
136,3,Temp,463 768 8687,12 Old Gate Parkway,3,31-400-6515,33,129,null,null,null,null,hotel
137,2,Rank,382 266 3214,11 Browning Drive,3,75-178-8023,94,145,null,null,null,null,hotel
138,2,Fixflex,949 556 7637,500 Oak Valley Crossing,2,33-277-5683,142,94,null,null,null,null,hotel
139,2,Keylex,367 643 5644,26762 Ridge Oak Hill,4,62-728-7931,134,149,null,null,null,null,hotel
140,4,Andalax,727 371 6173,6883 Loomis Hill,4,13-023-6281,103,15,null,null,null,null,hotel
141,3,Viva,705 466 6385,403 Anzinger Road,2,36-167-4513,154,121,null,null,null,null,hotel
142,3,Y-Solowarm,538 442 0572,2903 Mayfield Parkway,4,60-271-0227,81,112,null,null,null,null,hotel
143,2,Ventosanzap,302 881 6347,30291 Helena Park,4,87-250-0438,28,23,null,null,null,null,hotel
144,4,Rank,796 136 1955,8123 Sherman Terrace,3,38-305-2761,112,92,null,null,null,null,hotel
145,2,Mat Lam Tam,607 113 8853,39743 John Wall Drive,3,22-031-9330,155,108,null,null,null,null,hotel
146,2,Fixflex,776 313 7639,2 Johnson Pass,4,53-578-9874,56,103,null,null,null,null,hotel
147,1,Voltsillam,808 535 7322,2863 Killdeer Parkway,5,48-588-8623,129,157,null,null,null,null,hotel
148,4,Stim,657 890 0381,3 Jenna Avenue,3,57-845-8349,144,41,null,null,null,null,hotel
149,2,Transcof,147 367 7923,424 Burrows Pass,4,75-716-1443,47,99,null,null,null,null,hotel
150,4,Sub-Ex,206 439 1399,35 Comanche Lane,4,81-724-1700,154,60,null,null,null,null,hotel
151,3,Fintone,205 120 1027,9161 Grasskamp Avenue,3,65-056-3155,152,100,null,null,null,null,hotel
152,4,Namfix,730 789 6957,61 Del Mar Lane,5,29-675-2033,80,152,null,null,null,null,hotel
153,4,Transcof,702 292 4010,46 7th Junction,4,27-970-9123,115,134,null,null,null,null,hotel
154,4,Fix San,390 387 5736,3683 Amoth Center,3,64-298-4457,30,30,null,null,null,null,hotel
155,3,Bigtax,575 581 1278,51 Alpine Circle,5,53-545-9075,94,59,null,null,null,null,hotel
156,2,Kanlam,235 308 6555,5 Graceland Parkway,4,01-966-6722,11,134,null,null,null,null,hotel
157,2,Zathin,540 169 5966,58 6th Pass,2,80-019-5410,52,51,null,null,null,null,hotel
158,3,Lotstring,733 452 0439,2 Jana Alley,2,31-755-6789,155,134,null,null,null,null,hotel
159,4,Keylex,619 361 1445,2010 Lighthouse Bay Lane,4,59-219-3996,10,157,null,null,null,null,hotel
160,2,Zontrax,347 207 0430,30 Scofield Lane,3,70-484-2997,54,133,null,null,null,null,hotel
161,3,Trippledex,817 298 0970,3964 Mendota Pass,5,84-228-5883,87,68,null,null,null,null,hotel
162,1,Domainer,502 416 1582,9 Wayridge Crossing,4,19-418-8311,8,103,null,null,null,null,hotel
163,1,Redhold,140 112 8715,97 Northridge Pass,2,96-463-7260,89,107,null,null,null,null,hotel
164,2,Flexidy,764 242 9041,57459 Lakeland Plaza,5,88-918-9624,155,137,null,null,null,null,hotel
165,1,Zaam-Dox,782 248 4314,391 Paget Place,4,96-191-0324,151,158,null,null,null,null,hotel
166,1,Zontrax,118 598 0040,9006 Jenifer Place,5,98-144-4508,111,20,null,null,null,null,hotel
167,2,Viva,825 491 2717,48230 Arrowood Pass,4,82-964-7071,15,102,null,null,null,null,hotel
168,4,Otcom,408 367 8712,855 Welch Parkway,2,26-534-5903,131,81,null,null,null,null,hotel
169,4,Regrant,632 879 1857,0241 Independence Street,5,75-335-9967,116,49,null,null,null,null,hotel
170,3,Fintone,445 937 7759,0300 Lerdahl Street,2,05-678-1741,22,108,null,null,null,null,hotel
171,1,Viva,232 893 5844,363 Vahlen Junction,4,40-114-9607,62,8,null,null,null,null,hotel
172,1,Fintone,112 468 1739,23 Hintze Plaza,5,58-695-5926,106,29,null,null,null,null,hotel
173,4,Solarbreeze,596 770 4928,010 Arapahoe Avenue,5,13-617-9422,130,63,null,null,null,null,hotel
174,4,Flowdesk,342 933 7613,6233 Fieldstone Junction,4,80-308-9312,5,134,null,null,null,null,hotel
175,3,Konklab,656 244 1995,2 Elgar Hill,3,02-298-9868,110,13,null,null,null,null,hotel
176,1,Keylex,186 101 7244,55081 7th Parkway,5,42-297-6306,149,57,null,null,null,null,hotel
177,2,Alphazap,863 839 4415,91035 Homewood Drive,3,03-812-8813,116,104,null,null,null,null,hotel
178,4,Zontrax,706 959 7045,408 Mayer Crossing,4,77-541-2072,75,144,null,null,null,null,hotel
179,3,Gembucket,201 126 9293,70379 Coolidge Avenue,4,08-645-1115,81,116,null,null,null,null,hotel
180,4,Holdlamis,317 402 6233,9 Rowland Avenue,3,58-565-0691,139,105,null,null,null,null,hotel
181,3,Redhold,852 981 0279,575 Russell Court,4,95-201-9658,21,7,null,null,null,null,hotel
182,4,Cardify,651 377 7681,325 Delaware Street,4,38-326-1034,137,98,null,null,null,null,hotel
183,1,Domainer,789 846 4165,1900 Chinook Trail,5,38-507-2100,14,133,null,null,null,null,hotel
184,2,Tresom,662 950 3925,0 Johnson Alley,4,43-320-5524,103,155,null,null,null,null,hotel
185,1,Gembucket,244 468 7623,15 Golden Leaf Point,3,19-496-6431,88,157,null,null,null,null,hotel
186,3,Toughjoyfax,959 400 3002,77 Red Cloud Parkway,3,29-854-4437,114,57,null,null,null,null,hotel
187,2,Tempsoft,720 655 6575,886 Bobwhite Terrace,5,64-281-1988,52,98,null,null,null,null,hotel
188,4,Greenlam,212 962 4954,16793 Colorado Park,5,57-633-1848,16,121,null,null,null,null,hotel
189,4,Matsoft,625 625 0350,5 Manufacturers Hill,4,26-173-8920,149,156,null,null,null,null,hotel
190,2,Stronghold,221 200 6324,049 Vidon Avenue,2,15-263-1741,28,147,null,null,null,null,hotel
191,2,Gembucket,560 804 7534,9030 Birchwood Place,2,32-664-1096,114,90,null,null,null,null,hotel
192,3,Home Ing,992 690 0226,10783 Bunting Crossing,3,56-392-9716,54,135,null,null,null,null,hotel
193,2,Daltfresh,103 118 4845,20 Roth Court,5,94-153-3479,110,142,null,null,null,null,hotel
194,3,Fixflex,144 634 0279,05329 Lakewood Circle,2,96-654-8033,89,52,null,null,null,null,hotel
195,2,Flowdesk,864 655 4228,48063 Cherokee Point,5,77-430-8969,47,71,null,null,null,null,hotel
196,1,Andalax,437 748 4665,415 Carioca Crossing,4,12-718-4439,64,133,null,null,null,null,hotel
197,2,Tresom,770 184 2585,58609 Pond Alley,4,96-243-9267,87,105,null,null,null,null,hotel
198,3,Bytecard,251 801 3066,7 Northland Circle,3,35-608-7116,35,151,null,null,null,null,hotel
199,2,It,362 174 2428,4147 Petterle Circle,3,48-341-7038,87,108,null,null,null,null,hotel
200,1,Cardify,224 891 1061,86 Trailsway Road,2,91-887-8717,2,143,null,null,null,null,hotel
201,3,Zontrax,782 884 2958,88 Algoma Crossing,4,26-894-5401,42,79,null,null,null,null,hotel
202,4,Pannier,413 990 1315,1 Towne Lane,3,99-410-6337,7,148,null,null,null,null,hotel
203,1,Fixflex,163 103 3566,5456 Del Mar Point,4,21-537-5851,155,54,null,null,null,null,hotel
204,4,Treeflex,377 110 9815,0 Grasskamp Trail,5,62-207-4094,52,11,null,null,null,null,hotel
205,2,Treeflex,627 826 0354,52399 Pond Center,2,69-854-0501,55,37,null,null,null,null,hotel
206,3,Latlux,709 164 3639,598 Boyd Circle,5,17-287-1416,63,134,null,null,null,null,hotel
207,1,Daltfresh,376 796 8584,4268 Susan Crossing,2,42-920-0965,150,58,null,null,null,null,hotel
208,2,Bitchip,331 617 5669,56685 Barby Junction,5,63-400-0154,51,160,null,null,null,null,hotel
209,4,Prodder,801 492 9260,40 Express Avenue,2,91-550-1116,76,1,null,null,null,null,hotel
210,1,Bytecard,295 312 8949,8 Carberry Avenue,5,80-601-4504,82,129,null,null,null,null,hotel
211,3,Rank,655 198 6069,93822 Norway Maple Terrace,2,97-189-5600,109,63,null,null,null,null,hotel
212,4,Transcof,558 483 4617,2 Bay Alley,3,60-359-9753,143,8,null,null,null,null,hotel
213,2,Redhold,352 171 4884,9 Westridge Road,2,13-169-0748,45,64,null,null,null,null,hotel
214,3,Konklux,297 977 3226,96877 Truax Plaza,2,56-885-0515,10,17,null,null,null,null,hotel
215,3,Home Ing,216 376 9985,20348 Arizona Park,5,47-886-8176,130,39,null,null,null,null,hotel
216,4,Zathin,725 218 8425,27063 Bultman Crossing,4,37-081-3304,8,53,null,null,null,null,hotel
217,4,Pannier,842 197 5683,773 Declaration Drive,4,56-920-9710,100,95,null,null,null,null,hotel
218,1,Rank,867 722 0776,223 Carberry Hill,3,00-258-9925,148,104,null,null,null,null,hotel
219,4,Y-find,346 480 0001,5466 Cardinal Plaza,3,75-872-4471,132,79,null,null,null,null,hotel
220,2,Lotstring,225 388 2430,746 3rd Street,2,13-098-8160,14,137,null,null,null,null,hotel
221,3,Hatity,209 183 8858,52 Spenser Circle,4,48-857-8588,107,150,null,null,null,null,hotel
222,1,Greenlam,833 213 3907,4671 Hoepker Avenue,3,16-576-5667,104,116,null,null,null,null,hotel
223,3,Mat Lam Tam,241 308 9340,1151 Del Sol Point,4,47-878-3148,115,74,null,null,null,null,hotel
224,1,Bigtax,782 653 7774,6925 Swallow Plaza,5,14-658-6101,99,153,null,null,null,null,hotel
225,4,Hatity,394 541 4215,52 Rieder Plaza,2,97-903-8899,112,33,null,null,null,null,hotel
226,2,Matsoft,382 571 4441,099 Esch Alley,3,94-185-7114,134,16,null,null,null,null,hotel
227,1,Trippledex,348 300 8531,8146 Bartillon Point,4,11-767-8834,123,36,null,null,null,null,hotel
228,1,Tempsoft,704 165 0850,46597 Kropf Terrace,2,47-302-0573,69,72,null,null,null,null,hotel
229,2,Home Ing,258 851 8670,60072 Old Gate Plaza,2,94-551-4438,129,65,null,null,null,null,hotel
230,3,Bytecard,153 698 7479,29480 Holy Cross Avenue,4,52-309-6865,19,126,null,null,null,null,hotel
231,2,Subin,427 157 9031,695 Dottie Crossing,3,31-829-0432,16,19,null,null,null,null,hotel
232,1,Lotlux,833 857 6289,8 Ronald Regan Street,5,15-684-9624,28,72,null,null,null,null,hotel
233,4,Namfix,869 178 9941,4 Wayridge Street,4,58-621-1813,154,95,null,null,null,null,hotel
234,4,Veribet,246 817 3746,8321 Del Mar Alley,2,68-458-0255,20,154,null,null,null,null,hotel
235,4,Y-find,470 668 5021,8906 Mendota Park,4,15-405-7050,103,159,null,null,null,null,hotel
236,4,Zontrax,508 735 6603,0 Mcbride Avenue,5,10-132-5641,68,47,null,null,null,null,hotel
237,1,Biodex,788 551 1927,84727 Straubel Street,5,91-871-0627,58,120,null,null,null,null,hotel
238,1,Toughjoyfax,748 336 7172,456 Maple Wood Place,2,27-379-9822,7,41,null,null,null,null,hotel
239,2,Cardguard,158 554 7304,10107 Grim Circle,2,73-075-7674,71,94,null,null,null,null,hotel
240,2,Cardify,191 762 6946,74766 North Alley,4,37-917-3561,109,120,null,null,null,null,hotel
241,2,Holdlamis,141 788 7065,1392 Lotheville Way,4,01-237-9178,45,56,null,null,null,null,hotel
242,2,Y-Solowarm,937 384 2555,96444 Utah Crossing,5,17-810-4254,141,151,null,null,null,null,hotel
243,2,Gembucket,384 145 1567,4 Tennyson Center,5,40-696-5796,8,116,null,null,null,null,hotel
244,2,Fintone,786 738 5939,7 Bartillon Crossing,3,68-541-7708,14,43,null,null,null,null,hotel
245,2,Y-Solowarm,810 856 0219,11 3rd Lane,5,67-114-4343,109,107,null,null,null,null,hotel
246,4,Cookley,943 170 2170,02469 Mockingbird Avenue,3,55-604-2377,126,23,null,null,null,null,hotel
247,3,Andalax,871 715 7189,69 Forest Lane,2,32-485-1382,67,63,null,null,null,null,hotel
248,2,Otcom,683 837 6975,1 Hoepker Crossing,3,97-853-2561,149,111,null,null,null,null,hotel
249,2,Toughjoyfax,437 863 3124,1 Graceland Point,2,51-587-3898,53,34,null,null,null,null,hotel
250,1,Ventosanzap,412 908 6663,0 Bunting Lane,3,17-894-5868,55,18,null,null,null,null,hotel
251,3,Holdlamis,834 106 5042,20888 Sutteridge Circle,3,46-321-8562,95,54,null,null,null,null,hotel
252,3,Wrapsafe,762 791 0201,619 Stoughton Pass,4,40-425-8484,77,4,null,null,null,null,hotel
253,1,Biodex,633 186 8316,68 Luster Pass,4,42-319-1875,56,157,null,null,null,null,hotel
254,2,Keylex,338 209 6616,2 Cardinal Trail,2,69-448-7851,53,90,null,null,null,null,hotel
255,4,Prodder,341 790 8777,085 Buhler Alley,2,78-202-3611,36,23,null,null,null,null,hotel
256,2,Home Ing,243 912 7177,03 Longview Street,3,81-554-7526,20,98,null,null,null,null,hotel
257,1,Alpha,375 170 2299,769 Sage Avenue,4,78-160-2660,1,102,null,null,null,null,hotel
258,3,Sonsing,600 366 8071,8 Spenser Park,3,91-829-8403,27,150,null,null,null,null,hotel
259,2,Cookley,983 472 7805,604 Heath Point,2,55-888-6808,71,60,null,null,null,null,hotel
260,3,Opela,839 875 6111,4 Crownhardt Hill,2,56-564-2599,153,51,null,null,null,null,hotel
261,2,Veribet,273 442 1925,859 Messerschmidt Alley,4,51-805-1456,9,148,null,null,null,null,hotel
262,1,Flexidy,332 972 1335,46165 Basil Avenue,3,86-217-7547,127,142,null,null,null,null,hotel
